Key_ID,Num_Key_ID,AttributeID,Num_AttributeID,Entity_ID,Num_Entity_ID,Key_Name,Entity_Name,Attribute_Name
2B15F921-9ACB-1CA9-BA57-F3E343506E5E,124,0AAAEE67-0250-E2D2-582A-D5EF9C28B956,109,31B5CFED-1BC9-AA3B-378A-07AB240C8496,70,"Journey PK","Journey","j_id",
F792FBEC-8CCF-3D95-0DD2-953E517FF736,125,6D6DED53-3E33-9F87-0A38-70DB19051894,115,7C673D94-05C5-9198-B164-93EC84697FBA,71,"JourneyTask PK","JourneyTask","qt_id",
F792FBEC-8CCF-3D95-0DD2-953E517FF736,125,CBE981CE-6D59-3C83-4FC2-3866E891B59E,122,7C673D94-05C5-9198-B164-93EC84697FBA,71,"JourneyTask PK","JourneyTask","j_id",
191A109D-2340-3125-1F3B-4DDB77573EEA,126,B61103DB-2FF3-EE2C-A2BE-E396D73CF46A,84,E6B5E355-647F-576E-F0A2-79991DB96A30,72,"Quest PK","Quest","q_id",
1BDFDDAF-DFF6-94C7-1556-227E1B8FCABB,127,FBB1D2D2-F1F3-29A0-C85C-88A4C269FF4C,92,23559D94-DEDB-EF76-F8C4-528EB5FAE26A,73,"QuestTask PK","QuestTask","qt_id",
069B300C-53F8-F611-9B1C-738D0F124F24,128,133BB375-3D7C-16D1-D72C-6E2CDBEA0BC1,88,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,"QuestTaskItem PK","QuestTaskItem","qi_id",
2C1AC0F8-7E74-99AB-AFF9-DD89A2F7E1EC,129,72044D4E-9372-B9F9-48DF-991DC8E40DAB,98,F795F7C7-BCC6-84A2-BAD8-719AC5E92231,75,"User PK","User","u_id",
17E9CB9C-78EE-6F72-E2A5-D2F7B50CD646,131,01DC1F09-CBC3-2C34-0E11-9B13CD7EF6D5,80,987F820F-3338-2D0F-4267-10BFCAF6C856,77,"UserIntentory PK","UserIntentory","i_id",
5836F5EA-7AF7-02AA-D0B8-07BDE1D6915D,132,B3D10857-4312-9298-BE5D-5C0A29A24796,107,FE0800D1-66DD-12B7-56E1-38920E2B9A56,78,"World PK","World","w_id",
