Key_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Synonyms,Entity_Name
"Journey PK",2B15F921-9ACB-1CA9-BA57-F3E343506E5E,124,,31B5CFED-1BC9-AA3B-378A-07AB240C8496,70,Primary Key,,"Journey",
"JourneyTask PK",F792FBEC-8CCF-3D95-0DD2-953E517FF736,125,,7C673D94-05C5-9198-B164-93EC84697FBA,71,Primary Key,,"JourneyTask",
"Quest PK",191A109D-2340-3125-1F3B-4DDB77573EEA,126,,E6B5E355-647F-576E-F0A2-79991DB96A30,72,Primary Key,,"Quest",
"QuestTask PK",1BDFDDAF-DFF6-94C7-1556-227E1B8FCABB,127,,23559D94-DEDB-EF76-F8C4-528EB5FAE26A,73,Primary Key,,"QuestTask",
"QuestTaskItem PK",069B300C-53F8-F611-9B1C-738D0F124F24,128,,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,Primary Key,,"QuestTaskItem",
"User PK",2C1AC0F8-7E74-99AB-AFF9-DD89A2F7E1EC,129,,F795F7C7-BCC6-84A2-BAD8-719AC5E92231,75,Primary Key,,"User",
"UserDetails PK",9F089BF5-807D-8CCB-535A-10C4DD7E2C34,130,,1CD4A8CB-FE60-A7BB-9E7A-A25EA9E41FDC,76,Primary Key,,"UserDetails",
"UserIntentory PK",17E9CB9C-78EE-6F72-E2A5-D2F7B50CD646,131,,987F820F-3338-2D0F-4267-10BFCAF6C856,77,Primary Key,,"UserIntentory",
"World PK",5836F5EA-7AF7-02AA-D0B8-07BDE1D6915D,132,,FE0800D1-66DD-12B7-56E1-38920E2B9A56,78,Primary Key,,"World",
